occupation,rating
Reclamation / Recycling Centre,10
Refuse Treatment,10
Rendering of Meat By-products,9
Renewables-AD over 1000kW,6
Renewables-AD upto 1000kW,6
Renewables-AD upto 250kW,5
Renewables-AD upto 500kW,5
Renewables-Biomass over 1000kW,10
Renewables-Biomass upto 1000kW,7
Renewables-Biomass upto 250kW,5
Renewables-Biomass upto 500kW,7
Renewables-Hydro,6
Renewables-Solar Ground,5
Renewables-Solar Roof,5
Renewables-Wind,7
Rope Manufacturer,8
Rubber Manufacturer,10
Saddle Manufacturer,5
Safe Manufacturer,10
Salad Product Manufacturer,3
Sandwich Manufacturer,3
Saw Doctor,7
Sawmill / Woodworker for trade,9
Scientific Instrument Man'r,6
Scrap Metal Dealer,10
Sculptor,6
Seamstress,3
Seating Manufacturer,3
Shed Manufacturer,7
Sheet Metal Worker,7
Shell Crusher,7
Shellfish Product Manufacturer,7
Shipwright,10
Shoe Repairer,3
Shooting Accessories Man'r,7
Sign Maker - Metal,4
Sign Maker - Plastic,4
Sign Maker - Wood,5
Silversmith,4
Smokery,8
Snack Food Man'r/Distrib',4
Soft Furnishings Manufacturer,4
Solid Fuel Producer,10
Spa/Whirlpool/Hot Tub Man'r,7
Spectacle Manufacturer,4
Spice & Condiment M'fer,3
Spring Water Supplier,3
Stairlift Manufacturer,10
Steel Contractor,8
Steel Fabricator,4
Steeplechase Fence Producer,7
Stonemason,7
Stonemason / Stoneware Man'r,7
Stoneworker,7
Straw Briquette Manufacturer,9
Sugar Confectionery M'fer,3
Sunbed Equipment Manufacturer,10
Tableware / Kitchenware Man'r,3
Tailor / Outfitter,3
Tanner,9
Taxidermist,9
Tent Maker,5
Textile Manufacturer,4
Timber Contractor,9
Timber Stable Man'r & Supplier,7
Toilet Paper Manufacturer,8
Tool Man'r - Domestic Hand,3
Toolmaker,1
Tools & Fastenings Man'r,3
Toy Manufacturer - Electronic,6
Toy Manufacturer - Metal,4
Toy Manufacturer- Wooden,4
Tyre Disposal Services,10
Upholsterer,8
Valve Manufacturer,3
Varnish Manufacturer,8
Vending Machine Manufacturer,3
Veterinary Products Man'r,4
Wallpaper Manufacturer,8
Waste Material Processor,10
Watchmaker,4
Waterproof Material Man'r,5
Waving/Hair Preparation Man'r,10
Weaver,4
Welder,8
Wheelwright,7
Wicker Furniture Manufacturer,3
Wig Maker,4
Wine Producer (incl Growing),3
Woodburning Stove Manufacturer,4
Wooden Goods Manufacturer,5
Woodworker,5
Wool / Cotton Mill,8
Wrapping Machinery Man'r,3
Wrought Iron Manufacturer,4
Yacht / Boat Builder,10
Yoghurt Product M'fer,3
Agric Machinery Sale & Service,3
Agricultural Machinery Dealer,3
Agricultural Machinery Repair,3
Agricultural Mechanic,4
Auction - Motor,8
Bodyshop / Vehicle Repair,4
Car Collection / Delivery,10
Car Hire,10
Car Showroom,4
Car Valet,8
Caravan Accessories & Supplies,5
Caravan Dealer,5
Caravan Hire,8
Caravan Manufacturer/Outfitter,10
Caravan Service and Repair,5
Coachbuilder,10
Engineer - Farm Machinery,4
Engineer - Motor,4
Horsebox Manufacturer,9
Horsebox Serv'/Repair/Convert,7
Mobile Mechanic,10
Motor Vehicle / Trailer Hire,10
Motor Vehicle Dealer,4
Motor Vehicle Recovery,10
Motor Vehicle Restorer,5
Motor Vehicle Retailer,4
Motor Vehicle Service/ Repair,3
Paint Sprayer (Motor Trade),4
Panel Beater,3
Private Hire Operator,10
Trailer Dealer,4
Trailer Manufacturer,8
Tyre Fitter,10
Tyre Retailer,5
Vehicle Rescue/Recovery Serv',10
Vintage Vehicle Restorer,8
Wedding Car Hire,8
Windscreen Repair,8
Agricultural Produce Retailer,1
Agricultural/Livestock Auction,5
Antique Dealer,5
Aquatic Supplier,2
Art and Crafts Retailer,1
Art Dealer,3
Auction House,8
Audio Equipment Retailer,2
Babywear / Baby Goods Retailer,2
Barber,2
Bathroom Retailer,2
Beautician,3
Bedroom Retailer,3
Book Shop,2
Bridalwear Retailer,2
Butcher,3
Cake Decorate Equip'/Supplies,2
Car Boot Sales,8
Carpet Retailer,2
CD / Record / Tape Retailer,3
Charity Shop,6
Chemist/Pharmacy (dispensing),8
China and Glass Retailer,2
Clothing Retailer,2
Coin/Medal Dealer,7
Computer Retailer,5
Confectionery Retailer,2
Cosmetics Retailer,3
Curtain/Blind Retailer,2
Cycle Sale and Hire,4
Dancewear Retailer,2
Delicatessens - Retail,2
Department Store,3
Diver Equipment Sales,4
Electrical Goods Retail -brown,4
Electrical Goods Retail -comm',4
Electrical Goods Retail -white,4
Equestrian Products Retailer,3
Fancy Dress Sales / Hire,5
Fancy Goods Retailer,2
Farm Shops / PYO Produce,1
Farmers Market Organiser,2
Fellmonger,9
Fencing Retailer,2
Firework Retailers,10
Fishing Tackle Retailer,2
Fishmonger,2
Florist,1
Footwear Retailer,3
Frozen Food Retailer,2
Furniture Retailer (inc elec'),2
Furniture Retailers (x elec'),2
Garden Centre,4
Garden Furniture/Ornament Ret',2
Gas Appliance Retailer,2
Greengrocer,1
Greeting Card Retailer,2
Grocer,4
Gun Retailer / Dealer,4
Haberdasher,2
Hairdresser,3
Hairdresser - Mobile,4
Hardware / Ironmonger,4
Healthfood Retailer,2
Home Improvement Retailer,4
Homebrew Retailer,2
Hot Tub Retailer,2
Jewellery Retailer,4
Kitchen Retailer,2
Knitwear Retailer,2
Leather Goods Retailer,5
Make Up Artist,4
Manicurist,4
Market Trader,9
Medical Supplies Retailer,8
Mobile Phone Retailer,7
Motor Accessories Retailer,5
Movie Rental / Retailer,2
Nailbar,3
Newsagent,4
Off Licence,7
Office Equipment Retailer,2
Oriental Goods Retailer,2
Pedicurist,3
Perfume Retailer,3
Pet Beautician,3
Pet Food Retailer,2
Pet Retailer,2
Petrol Station,7
Pharmacist,8
Photocopier Retailer,2
Photographic Equipment Sales,4
Post Office,2
Record  Tape and CD Retailer,3
Saddlery and Leather Retailer,5
Service Station Proprietor,6
Sewing Machine Retailer,2
Soft Drinks Retailer,2
Soft Furnishing Ret' / Draper,2
Solarium / Tanning Salon,10
Sports Equipment Retailer,4
Stallholder,10
Stamp Dealer,7
Stationer,2
Stationers/Greeting Card Ret',2
Street Vendor,10
Sunbed Hire,10
Sunbed Salon,10
Supermarket,7
Tattooist,10
Tile Retailer,2
Tobacconist,5
Tools and Fastenings Retailer,4
Toy Retailer,2
Trophy / Cup Retailer,2
Veterinary Goods Retailer,2
Wallpaper Retailer,2
Wholefood Retailer,2
Wood Shaving Retailer,7
Woodburning Stove Retailer,2
Wool Retailer / Haberdasher,2
Work Wear Retailer,4
Agric Merchant/Wholesalers,3
Agrochemical Merchant - Retail,7
Agrochemical Merchant - W'sale,7
Aluminium Stockholder,3
Animal Feed/Sup'ment Retailer,3
Animal Feed/Sup'ment W'sale,3
Biological Equipment Supplier,3
Book Distributor,4
Book Wholesaler,4
Builders / Plumbers Wholesaler,3
Builder's Merchant,3
Butcher Wholesaler,6
Caravan Storage Proprietor,5
Carpet Wholesaler,8
Catering Equipment Wholesaler,3
CD / Record / Tape Wholesaler,6
Cement / Concrete Supplier,9
Charcoal / Burner Suppliers,8
Chemist W'sale - non dispense,4
China and Glass Wholesaler,3
Clothing Wholesaler,5
Coal Merchant,8
Cold Store,5
Confectionery Wholesaler,3
Corn Merchant,3
Courier,10
Crockery/ Cutlery / Glass Hire,7
Dairy Products Distributor,7
Delicatessens - Wholesale,3
Disability Equipment Supplier,4
Draper,5
Electrical Goods W'sale brown,5
Electrical Goods W'sale comm',3
Electrical Goods W'sale white,3
Electronic Component Distrib',5
Essential Oils Wholesaler,8
Feather Wholesaler,10
Fertiliser Dealer,8
Fish/Shellfish Wholesaler,7
Flour Merchant,3
Flower Wholesaler,3
Foam Wholesaler,10
Footwear Wholesaler,5
Foundry Equipment Supplier,3
Frozen Food Distributor,7
Fruit & Vegetable Wholesaler,5
Fuel Distributor,10
Fuel Supplier,10
Furniture Removal,10
Furniture Wholesaler,4
Game Dealer,5
Garden Furniture Distributor,3
Gas Merchant,8
Grocery Delivery,10
Grocery Wholesaler,3
Haulage Contractor,8
Hay and Straw Merchant,9
Health Care Products Distrib',3
Hide and Skin Merchant,5
Hot Tub Hirer,3
Hydraulic Parts Retail/Dist',3
Ice Merchant,5
Liquid Petrolium Gas Retailer,8
Log Merchant,8
Machinery Dealer,3
Machinery Retailer,3
Machinery Wholesaler,3
Mail Order Delivery,10
Mailing Services,10
Manure Merchant,7
Meat Wholesale (x cut/process),6
Metal Merchant,7
Milk Distributor,7
Milk Wholesaler,7
Motor Accessory W'sale w tyres,6
Motor Accessory W'sale x tyres,5
Musical Instrument Hire,7
Oil Distribution,10
Oil Retailer,8
Packaging Merchant,10
Paint Wholesaler,8
Peat Supplier,9
Pet Food Wholesaler,3
Plant (Machinery) Dealer,3
Plant Hire Contractor,9
Portable Building Hirer,7
Potato Trader,3
Poultry and Game Wholesaler,7
Pump Distributor,3
Removal Contractor,10
Sand and Gravel Merchant,3
Seed Merchant,3
Seed Retailer,3
Sheet and Racking Supplier,5
Skip Hire,8
Snack Food Wholesaler,3
Sports Club Merchandiser,6
Sports Goods Supplier,6
Stationery Wholesaler,4
Steel and Iron Wholesaler,7
Stone Merchant,3
Storage Services,10
Straw Dealer,9
Supplier of Humidifiers,3
Tea and Coffee Wholesaler,3
Textile Wholesaler,7
Theatre Costume/Equip'/Sup',6
Timber Frame Building Supplier,4
Timber Merchant,9
Turf / Soil Merchant,5
Vegetable Supplier,3
Vending Machine Hire,3
Wallpaper Wholesaler,4
Wine / Spirit Merchant,5
Wool Merchant,7
Accountant,2
Actuary,2
Acupuncturist,3
Advertising Agency,2
Advertising Consultant,2
Advice Bureau,2
Agric Show & Events Organiser,3
Agricultural College,7
Agricultural Consultant,2
Agricultural Co-operative,2
Agricultural Food Technologist,3
Agricultural Researcher,2
Agronomist,2
Animal Husbandry Consultant,2
Animal Minder,5
Animal Physiotherapist,3
Animal Psychologist,3
Antique Restorer,5
Arbitrator,2
Architect,2
Archivist,2
Aromatherapist,4
Art Historian,2
Art Restorer,5
Artist (Paper / Fabric),2
Audiologist,3
Auditor,2
Author,2
Barrister,2
Bath / Sanitaryware Resurfacer,4
Bird Breeder,2
Boarding Kennels / Cattery,3
Book Keeper,2
Botanist,2
Brokers - Insurance,2
Brokers - Other (x pawnbroker),2
Building Consultant,2
Business Analyst,2
Business Consultant,2
Business Support Advisor,2
Butler,5
Cake Decorator,2
Careers Advisor / Officer,2
Caretaker,2
Carpet and Upholstery Cleaner,2
Cartographer,2
Cartoonist,2
Cat Breeder,3
Catering Equipment Contractor,2
Ceramic Consultant,2
Chimney Sweep,5
Chiropodist,3
Chiropractor,3
Claims Assessor,2
Cleaning Contractor - Interior,2
Clerk Of Works,2
Communications Analyst,2
Complimentary Therapist,3
Computer Analyst / Programmer,5
Computer Consultant,5
Conference Organiser,4
Conveyancer,2
Copywriter,2
Corporate Merchandiser,3
Countryside Ranger,2
Curtain Fitter,2
Cycle Repairer,2
Dental Hygienist,3
Dentist,3
Designer,2
Desktop Publishing Services,2
Dietician / Nutritionist,3
Direct Marketing,5
Doctors Surgery (medical),3
Document Shredding Services,10
Dog Breeder,3
Dog Trainer,3
Dog Walker,5
Domestic Appliance Installer,2
Domestic Appliance Repairer,2
Drainage Consultant,2
Draughtsman/woman,2
Dry Cleaner,6
Economic Development Officer,2
Economist,2
Education Officer,7
Energy Conservation Consultant,2
Engineer - Agricultural,5
Engineer - Computer,2
Engineer - Planning,5
Engineering Consultant,5
Eng'r - Environmental/Geotech',5
Environmental Consultant,2
Equine Dental Technician (reg),3
Ergonomist,2
Estate Agent,2
Exhibition / Event Organiser,4
Exhibition Designer,3
Farm Consultant,2
Farm Office,2
Farrier - Registered,3
Fashion Consultant,3
Fashion Designer,3
Finance Broker,2
Financial Advisor / Consultant,2
Financial Analyst,2
Fine Arts Valuer,2
Fire Protection Consultant,2
Fish Farm Consultant,2
Forestry Consultant-Non Agric',3
French Polisher,2
Garden Designer - x man'l work,2
Gardening Machinery Services,2
Graphic Designer,2
Grassland Amenity Management,2
Grave Digger,6
Health and Safety Advisor,2
Health Education,7
Heating Consultant,2
Heelbar,2
Historian,2
Home Economist,2
Horse Physiotherapy,3
Hospitality Agent,5
Housekeeper,5
Human Resources Consultant,2
Human Resources Management,2
Hygienist,3
I T Consultant,2
Illustrator,2
Industrial Consultant,2
Information Centre,2
Insolvency Administrator,2
Insolvency Consultant,2
Inspector - Animal Health,7
Inspector - Meat,7
Inspector - Property,7
Inspector - Safety,7
Inspector - Schools,7
Inspector - Tax,7
Inspector - Veterinary,7
Insurance Agent,2
Interior Design - x man'l work,2
Interpreter,2
Ironing Services,2
Key Cutting Services,3
Land Agent,2
Land Management Advisor,2
Land Surveyor,2
Lawyer,2
Legal Adviser,2
Letting Agency,2
Lighting Technician,4
Literary Agent,2
Livestock Haulage,7
Locksmith,3
Loss Adjuster,2
Management Consultant,2
Marine Consultant,7
Marine Surveyor,7
Market Research,2
Marketing Consultant,2
Marquee Hire,7
Masseur / Masseuse,3
Meat Grader,5
Meat Inspector,7
Mortgage Consultant / Broker,2
Motor Fleet Consultant,3
Music Teacher,7
Optician,3
Orthodontist,3
Osteopath,3
PA Systems Supplier / Fitter,4
Party Planner,7
Pensions Consultant,2
Pest / Vermin Control,5
Photo Studios (no equip sales),2
Photocopier Servicing,2
Photographer,2
Physio / Sports Injury Clinic,3
Physiotherapist (mobile),3
Piano Tuner,2
Planning Consultant,2
Playwright,2
Podiatrist,3
Poet,2
Pressure Washer Cleaning Serv',7
Private Tutor,7
Property Agent,2
Property Consultant,2
Property Management,2
Property Valuer,2
Public Relations Consultant,2
Publisher,2
Quantity Surveyor,2
Reflexologist,3
Relocation Agent,2
Rural Development Officer,2
Rural Industries Organiser,2
Rural Transport Adviser,2
Saddle Measurer and Fitter,6
Safe Installer,6
Safety Consultant,2
Secretarial Services,3
Security Consultant,7
Snow Clearance Contractor,4
Solicitor,2
Speech Therapist,3
Stockbroker,2
Surveyor,2
Swimming Pool Cont' (Cleaning),7
Taxation Consultant,2
Telecommunications Consultant,2
Telesales,3
Television Repairer,2
Tourist Information,5
Training Consultant,7
Training Services,7
Translator,2
Transport Consultant,2
Trichologist / Hair Consultant,3
Typographer,2
Undertaker,3
Valuer,2
Veterinary Surgeon,3
Website Designer,6
Wedding Consultant,7
Weighing Systems Supply/Serv',7
Wide Load Surveyor,2
Wildlife Advisor,3
Wool Marketing Board,2
